order_id,customer_id,restaurant_id,order_time,customer_location,restaurant_location,order_value,rating,delivery_time
9813,7032,342,2024-04-06 15:34:13,15th Floor,Suite 31,1810.2,0.55,2024-04-06 16:31:49
9381,8269,541,2024-04-06 12:43:05,Room 386,Room 126,157.01,4.63,2024-04-06 13:18:59
7804,3693,499,2024-04-06 14:54:41,Suite 67,Suite 68,218.23,0.35,2024-04-06 15:40:03
7726,2171,174,2024-04-06 01:22:50,14th Floor,Room 1957,4784.58,0.35,2024-04-06 01:57:59
6719,1937,165,2024-04-06 10:04:25,PO Box 75250,PO Box 84309,333.01,3.89,2024-04-06 10:43:03
1362,5397,878,2024-04-06 13:44:04,Room 352,4th Floor,2487.99,3.63,2024-04-06 13:50:45
8076,4943,104,2024-04-06 02:54:57,PO Box 20917,Suite 43,1037.93,3.66,2024-04-06 03:10:23
2493,4808,804,2024-04-06 18:56:28,Room 1123,PO Box 59708,3538.79,3.66,2024-04-06 19:04:40
6108,1683,635,2024-04-06 21:02:13,11th Floor,Apt 489,3146.72,1.03,2024-04-06 21:44:37
6055,2620,827,2024-04-06 06:46:23,5th Floor,PO Box 5518,1765.11,3.85,2024-04-06 07:10:21
2351,1543,706,2024-04-06 00:46:17,2nd Floor,PO Box 82451,3293.4,4.93,2024-04-06 01:38:52
9934,2874,772,2024-04-06 16:27:10,Room 1657,5th Floor,4142.44,3.17,2024-04-06 17:19:39
8655,6826,933,2024-04-06 20:30:40,PO Box 2929,Room 384,931.1,4.77,2024-04-06 20:40:52
1575,3949,150,2024-04-06 04:19:48,PO Box 58847,Suite 72,4201.25,0.47,2024-04-06 04:50:49
7352,8851,883,2024-04-06 13:55:15,4th Floor,Suite 53,649.4,0.51,2024-04-06 13:58:00
8297,7594,780,2024-04-06 13:10:54,Room 1181,Apt 1494,184.99,4.77,2024-04-06 13:17:31
7767,8831,957,2024-04-06 06:21:34,PO Box 97378,Suite 35,2187.39,1.72,2024-04-06 06:43:36
5336,2406,544,2024-04-06 08:12:23,PO Box 21577,9th Floor,2805.46,0.2,2024-04-06 09:10:58
9850,7130,364,2024-04-06 06:07:11,Suite 15,19th Floor,2116.17,0.75,2024-04-06 06:26:53
9901,5550,311,2024-04-06 17:37:38,Suite 64,Suite 1,758.87,4.07,2024-04-06 18:19:50
8974,8762,256,2024-04-06 16:57:24,18th Floor,Room 1560,422.32,1.05,2024-04-06 16:58:54
5054,6491,985,2024-04-06 12:25:24,20th Floor,Room 1210,4884.43,4.58,2024-04-06 12:44:22
9370,5334,753,2024-04-06 07:48:32,Room 1525,Room 1947,744.39,1.79,2024-04-06 08:28:44
3033,1234,953,2024-04-06 04:44:29,Suite 53,Suite 1,816.75,2.91,2024-04-06 04:50:19
2500,6131,199,2024-04-06 03:02:54,PO Box 6473,PO Box 17303,2095.81,1.7,2024-04-06 03:26:36
2171,6098,286,2024-04-06 18:47:08,PO Box 7435,Apt 798,808.62,4.22,2024-04-06 19:20:54
