order_id,customer_id,restaurant_id,order_time,customer_location,restaurant_location,order_value,rating
9298,9201,652,2024-04-06 00:00:00,Room 1074,Apt 1673,3723.19,1.05
8667,6927,828,2024-04-06 00:00:00,Suite 33,Apt 109,2285.8,0.19
1489,1831,918,2024-04-06 00:00:00,2nd Floor,Suite 92,4232.03,2.16
9169,2482,792,2024-04-06 00:00:00,Suite 15,Apt 846,2817.79,2.5
9625,8947,822,2024-04-06 00:00:00,Apt 1986,Room 1326,420.28,2.01
9144,2929,456,2024-04-06 00:00:00,17th Floor,Suite 64,4638.68,0.06
3519,9521,715,2024-04-06 00:00:00,13th Floor,Apt 1682,1219.12,0.53
8803,7144,524,2024-04-06 00:00:00,11th Floor,Room 1002,825.37,1.12
6349,3785,982,2024-04-06 00:00:00,Apt 1100,Apt 1005,1490.04,1.75
3212,5188,503,2024-04-06 00:00:00,Room 1189,6th Floor,1736.38,4.89
3724,1236,871,2024-04-06 00:00:00,PO Box 4616,Suite 100,4158.23,3.96
9732,1282,440,2024-04-06 00:00:00,Room 1466,9th Floor,4838.12,4.58
7335,5349,291,2024-04-06 00:00:00,PO Box 60416,Suite 41,4753.54,1.9
3289,3508,264,2024-04-06 00:00:00,Apt 484,Apt 1774,483.38,2.16
2287,9266,693,2024-04-06 00:00:00,9th Floor,PO Box 32112,3077.67,3.16
2743,4654,506,2024-04-06 00:00:00,Suite 5,Apt 308,3218.5,1.28
9655,6088,253,2024-04-06 00:00:00,Apt 637,Apt 1106,3305.57,2.57
4790,9616,455,2024-04-06 00:00:00,Room 1749,Apt 193,2730.13,0.55
5234,4744,482,2024-04-06 00:00:00,Apt 1354,Apt 1294,4981.85,4.45
3420,4562,546,2024-04-06 00:00:00,PO Box 63270,Apt 1594,4939.35,1.7
1585,5192,165,2024-04-06 00:00:00,Room 1937,PO Box 13108,3898.52,0.58
2374,1714,331,2024-04-06 00:00:00,10th Floor,Suite 26,2759.39,0.63
5074,2013,447,2024-04-06 00:00:00,13th Floor,Apt 575,3607.93,0.95
4135,5229,150,2024-04-06 00:00:00,Room 1713,Room 1432,4666.44,4.85
3065,4349,191,2024-04-06 00:00:00,Suite 4,Suite 61,267.76,3.37
4773,2573,657,2024-04-06 00:00:00,Suite 46,15th Floor,1291.82,1.04
1524,2608,227,2024-04-06 00:00:00,Suite 69,Suite 76,2281.4,4.36
5844,3394,282,2024-04-06 00:00:00,PO Box 66345,PO Box 27236,4650.96,4.65
7441,8660,924,2024-04-06 00:00:00,Apt 1035,11th Floor,1699.45,3.81
2380,3353,250,2024-04-06 00:00:00,PO Box 69822,PO Box 66549,1598.29,1.52
4889,7070,761,2024-04-06 00:00:00,Room 1809,Suite 69,2633.61,1.23
2640,3555,103,2024-04-06 00:00:00,Suite 22,Room 127,4555.51,3.74
7701,2955,224,2024-04-06 00:00:00,Suite 20,PO Box 27129,54.28,4.96
7091,5903,210,2024-04-06 00:00:00,19th Floor,Suite 32,4553.06,4.85
4696,8140,165,2024-04-06 00:00:00,Apt 1812,PO Box 75882,522.43,0.86
1403,8675,785,2024-04-06 00:00:00,Room 1841,Apt 106,4924.28,1.57
8702,4080,827,2024-04-06 00:00:00,Room 265,PO Box 7532,3650.38,1.56
1235,6717,755,2024-04-06 00:00:00,Suite 31,Room 888,4366.61,3.43
6950,6412,298,2024-04-06 00:00:00,2nd Floor,Suite 58,180.14,1.62
6461,9737,979,2024-04-06 00:00:00,3rd Floor,Suite 35,3529.23,2.87
7919,7198,676,2024-04-06 00:00:00,13th Floor,15th Floor,3232.9,4.28
9314,9721,133,2024-04-06 00:00:00,4th Floor,Suite 88,3425.97,0.43
3553,1224,937,2024-04-06 00:00:00,3rd Floor,Suite 74,4060.03,2.23
8373,5053,904,2024-04-06 00:00:00,Apt 1382,19th Floor,109.07,2.03
6825,5625,584,2024-04-06 00:00:00,Room 1098,Suite 97,3541.06,4.55
5072,5523,113,2024-04-06 00:00:00,Room 1495,PO Box 5433,3061.4,1.26
6243,3886,813,2024-04-06 00:00:00,11th Floor,14th Floor,3673.89,2.44
3665,5571,598,2024-04-06 00:00:00,PO Box 3161,Room 262,3358.04,4.76
3436,8525,933,2024-04-06 00:00:00,17th Floor,2nd Floor,1457.9,0.8
6040,5376,836,2024-04-06 00:00:00,4th Floor,Apt 756,3939.49,2.41
1865,9628,110,2024-04-06 00:00:00,Room 1777,PO Box 12022,906.94,4.35
9106,2920,435,2024-04-06 00:00:00,Room 699,Apt 231,3020.76,0.27
3338,9109,300,2024-04-06 00:00:00,Apt 1381,Suite 25,1772.32,4.68
2885,1937,343,2024-04-06 00:00:00,Apt 92,Apt 1958,1634.03,0.45
8794,3393,869,2024-04-06 00:00:00,Apt 848,19th Floor,42.09,2.15
1162,3751,836,2024-04-06 00:00:00,Suite 22,Apt 588,307.06,4.82
9251,1481,613,2024-04-06 00:00:00,Apt 1730,Apt 1371,670.68,4.4
1329,5263,445,2024-04-06 00:00:00,Room 1625,PO Box 89401,3875.05,1.6
1405,4859,490,2024-04-06 00:00:00,20th Floor,PO Box 57048,202.8,2.81
5133,2318,904,2024-04-06 00:00:00,PO Box 84951,13th Floor,1047.93,1.96
2626,7470,296,2024-04-06 00:00:00,17th Floor,Suite 96,2446.01,2.98
2065,3230,132,2024-04-06 00:00:00,Suite 32,6th Floor,2762.24,2.25
2096,4352,837,2024-04-06 00:00:00,Suite 71,Room 1425,416.12,0.7
2784,2718,218,2024-04-06 00:00:00,Apt 848,Suite 1,3305.15,2.92
3072,9216,248,2024-04-06 00:00:00,Room 74,Suite 9,3617.69,4.91
9129,1821,989,2024-04-06 00:00:00,Room 1830,Apt 1905,1182.54,0.97
5236,6387,855,2024-04-06 00:00:00,Apt 1929,Apt 1935,3633.06,1.12
1980,7469,403,2024-04-06 00:00:00,Suite 70,17th Floor,3331.86,4.3
4652,5898,891,2024-04-06 00:00:00,5th Floor,Apt 1732,3461.5,1.11
3635,2810,196,2024-04-06 00:00:00,Room 614,Apt 1164,2770.79,0.37
4285,4722,424,2024-04-06 00:00:00,Suite 86,PO Box 66531,2919.86,0.2
1557,9777,772,2024-04-06 00:00:00,19th Floor,Suite 48,173.46,4.64
5505,9545,388,2024-04-06 00:00:00,3rd Floor,Room 275,1238.31,1.63
1922,6846,594,2024-04-06 00:00:00,PO Box 65204,Suite 54,4321.81,2.84
8418,4437,539,2024-04-06 00:00:00,PO Box 54942,15th Floor,778.09,0.37
5235,5889,831,2024-04-06 00:00:00,PO Box 51881,PO Box 13582,2497.13,4.12
8644,8211,590,2024-04-06 00:00:00,PO Box 7735,8th Floor,74.16,0.69
9155,7325,727,2024-04-06 00:00:00,PO Box 63733,Suite 6,2000.93,1.13
2195,1727,892,2024-04-06 00:00:00,10th Floor,PO Box 59977,4402.62,4.86
3930,8814,637,2024-04-06 00:00:00,PO Box 22587,Room 97,3013.74,0.41
6155,3937,168,2024-04-06 00:00:00,2nd Floor,Room 268,3959.11,0.18
3084,5401,980,2024-04-06 00:00:00,Room 1432,Suite 58,874.09,0.17
