order_id,customer_id,restaurant_id,order_time,customer_location,restaurant_location,order_value,rating
9813,7032,342,2024-04-06 00:00:00,15th Floor,Suite 31,1810.2,0.55
9381,8269,541,2024-04-06 00:00:00,Room 386,Room 126,157.01,4.63
7804,3693,499,2024-04-06 00:00:00,Suite 67,Suite 68,218.23,0.35
7726,2171,174,2024-04-06 00:00:00,14th Floor,Room 1957,4784.58,0.35
6719,1937,165,2024-04-06 00:00:00,PO Box 75250,PO Box 84309,333.01,3.89
1362,5397,878,2024-04-06 00:00:00,Room 352,4th Floor,2487.99,3.63
8076,4943,104,2024-04-06 00:00:00,PO Box 20917,Suite 43,1037.93,3.66
2493,4808,804,2024-04-06 00:00:00,Room 1123,PO Box 59708,3538.79,3.66
6108,1683,635,2024-04-06 00:00:00,11th Floor,Apt 489,3146.72,1.03
6055,2620,827,2024-04-06 00:00:00,5th Floor,PO Box 5518,1765.11,3.85
2351,1543,706,2024-04-06 00:00:00,2nd Floor,PO Box 82451,3293.4,4.93
9934,2874,772,2024-04-06 00:00:00,Room 1657,5th Floor,4142.44,3.17
8655,6826,933,2024-04-06 00:00:00,PO Box 2929,Room 384,931.1,4.77
1575,3949,150,2024-04-06 00:00:00,PO Box 58847,Suite 72,4201.25,0.47
7352,8851,883,2024-04-06 00:00:00,4th Floor,Suite 53,649.4,0.51
8297,7594,780,2024-04-06 00:00:00,Room 1181,Apt 1494,184.99,4.77
7767,8831,957,2024-04-06 00:00:00,PO Box 97378,Suite 35,2187.39,1.72
5336,2406,544,2024-04-06 00:00:00,PO Box 21577,9th Floor,2805.46,0.2
9850,7130,364,2024-04-06 00:00:00,Suite 15,19th Floor,2116.17,0.75
9901,5550,311,2024-04-06 00:00:00,Suite 64,Suite 1,758.87,4.07
8974,8762,256,2024-04-06 00:00:00,18th Floor,Room 1560,422.32,1.05
5054,6491,985,2024-04-06 00:00:00,20th Floor,Room 1210,4884.43,4.58
9370,5334,753,2024-04-06 00:00:00,Room 1525,Room 1947,744.39,1.79
3033,1234,953,2024-04-06 00:00:00,Suite 53,Suite 1,816.75,2.91
2500,6131,199,2024-04-06 00:00:00,PO Box 6473,PO Box 17303,2095.81,1.7
2171,6098,286,2024-04-06 00:00:00,PO Box 7435,Apt 798,808.62,4.22
7628,8155,419,2024-04-06 00:00:00,Suite 57,Room 1103,4560.13,4.05
6675,4609,739,2024-04-06 00:00:00,Room 792,15th Floor,4679.05,4.53
6230,8079,484,2024-04-06 00:00:00,PO Box 64784,8th Floor,1360.91,0.87
7423,9111,124,2024-04-06 00:00:00,PO Box 12640,Suite 73,1948.55,4.88
7237,7293,605,2024-04-06 00:00:00,PO Box 22312,Apt 657,899.91,2.17
4947,4073,680,2024-04-06 00:00:00,Suite 4,Apt 106,4982.11,4.83
9805,6055,369,2024-04-06 00:00:00,Apt 423,Room 596,335.92,2.42
5458,4905,496,2024-04-06 00:00:00,Room 1585,Room 275,2895.85,4.35
1854,3173,902,2024-04-06 00:00:00,4th Floor,Suite 9,3495.52,2.92
5884,1464,148,2024-04-06 00:00:00,Apt 1812,Suite 64,1328.04,4.83
9833,3473,428,2024-04-06 00:00:00,Apt 1640,1st Floor,4993.15,4.54
1537,4880,824,2024-04-06 00:00:00,4th Floor,Apt 1966,1587.39,4.17
6711,8432,538,2024-04-06 00:00:00,Room 1343,Apt 858,2440.73,2.42
1513,9995,908,2024-04-06 00:00:00,Apt 697,13th Floor,4564.6,3.8
9736,8349,276,2024-04-06 00:00:00,Suite 34,PO Box 82992,1992.75,2.75
8761,9910,306,2024-04-06 00:00:00,3rd Floor,Suite 26,4469.37,2.31
8174,2713,593,2024-04-06 00:00:00,PO Box 15291,Suite 100,1641.64,4.86
2481,3130,970,2024-04-06 00:00:00,18th Floor,2nd Floor,1237.98,1.21
4641,3320,221,2024-04-06 00:00:00,Room 1355,Suite 78,1611.98,4.61
8379,9181,957,2024-04-06 00:00:00,Room 586,Room 756,2220.09,1.34
9540,4526,489,2024-04-06 00:00:00,Apt 1639,7th Floor,3045.41,4.66
8322,1243,788,2024-04-06 00:00:00,9th Floor,4th Floor,2617.6,1.15
7141,3734,467,2024-04-06 00:00:00,Suite 46,Apt 964,2420.98,1.95
1956,6380,910,2024-04-06 00:00:00,Apt 1664,5th Floor,2494.76,1.35
6484,3249,257,2024-04-06 00:00:00,Suite 29,PO Box 78923,4671.71,3.36
3185,4067,672,2024-04-06 00:00:00,PO Box 21272,PO Box 60774,3817.92,2.99
9075,7245,852,2024-04-06 00:00:00,Apt 955,Apt 1331,825.37,2.26
6323,9581,269,2024-04-06 00:00:00,Suite 27,PO Box 3587,4167.12,0.61
2105,3962,145,2024-04-06 00:00:00,Apt 1798,Apt 808,1449.95,3.81
1719,5663,277,2024-04-06 00:00:00,Apt 428,8th Floor,4121.95,3.63
5831,8546,556,2024-04-06 00:00:00,13th Floor,Room 121,4211.24,2.18
5514,9180,468,2024-04-06 00:00:00,PO Box 85780,PO Box 42259,4993.55,4.44
1711,9463,709,2024-04-06 00:00:00,4th Floor,Apt 1716,3584.53,3.56
2717,7401,687,2024-04-06 00:00:00,Suite 92,Room 1543,722.79,2.41
7116,7476,167,2024-04-06 00:00:00,Apt 1719,Apt 25,202.88,1.49
6997,8392,502,2024-04-06 00:00:00,Room 1673,Room 1212,1050.28,4.77
1247,2345,731,2024-04-06 00:00:00,Room 610,2nd Floor,3736.54,3.15
6458,8904,252,2024-04-06 00:00:00,PO Box 26345,Room 1162,4435.32,4.34
1704,9739,983,2024-04-06 00:00:00,PO Box 71659,6th Floor,2153.41,2.6
3133,8273,999,2024-04-06 00:00:00,Room 994,1st Floor,1150.52,3.75
9612,5238,854,2024-04-06 00:00:00,Suite 6,Apt 1238,3148.23,1.19
4700,5477,301,2024-04-06 00:00:00,Room 263,PO Box 94884,2009.6,3.82
5720,2483,912,2024-04-06 00:00:00,Suite 89,PO Box 32111,16.59,2.95
2745,2583,304,2024-04-06 00:00:00,9th Floor,Suite 49,4614.25,1.39
9503,3594,338,2024-04-06 00:00:00,Suite 79,6th Floor,4282.03,0.92
9797,2093,907,2024-04-06 00:00:00,PO Box 77823,Suite 5,3078.6,4.15
3457,5915,521,2024-04-06 00:00:00,7th Floor,PO Box 79307,833.81,0.41
4749,8792,216,2024-04-06 00:00:00,18th Floor,Suite 67,1890.13,3.06
9960,2193,976,2024-04-06 00:00:00,Suite 71,Apt 1661,3511.82,2.87
1842,7037,720,2024-04-06 00:00:00,PO Box 1591,PO Box 31351,2793.53,2.8
5818,3835,339,2024-04-06 00:00:00,Apt 514,Apt 604,4209.13,4.27
8464,5673,864,2024-04-06 00:00:00,Suite 72,PO Box 51245,1698.11,1.69
2099,5907,117,2024-04-06 00:00:00,Suite 69,Room 870,2717.69,2.88
5441,9565,750,2024-04-06 00:00:00,Apt 1928,Room 102,2453.87,1.43
4795,5385,594,2024-04-06 00:00:00,Suite 31,7th Floor,4226.73,2.6
6117,4441,706,2024-04-06 00:00:00,Room 1942,Apt 1256,4737.49,4.59
4396,7250,705,2024-04-06 00:00:00,Apt 590,Apt 704,4553.02,2.89
6545,8183,893,2024-04-06 00:00:00,9th Floor,PO Box 72852,2336.31,4.48
3089,4589,249,2024-04-06 00:00:00,Apt 246,Apt 977,3498.98,3.44
1053,1284,409,2024-04-06 00:00:00,Room 1760,PO Box 21381,236.14,1.93
4961,3997,806,2024-04-06 00:00:00,Suite 12,Room 1007,3409.69,4.09
6175,7874,794,2024-04-06 00:00:00,Apt 1271,1st Floor,2822.83,0.86
6884,2215,383,2024-04-06 00:00:00,Apt 276,Room 971,939.7,2.43
8355,8656,978,2024-04-06 00:00:00,Room 925,Suite 83,4241.35,4.02
2691,3664,971,2024-04-06 00:00:00,Suite 9,Room 525,1277.17,0.88
8637,7781,895,2024-04-06 00:00:00,Suite 19,Apt 1308,3331.31,1.07
4564,3680,529,2024-04-06 00:00:00,Apt 925,Room 963,1086.34,1.42
8306,1080,391,2024-04-06 00:00:00,PO Box 42228,PO Box 71662,1970.29,3.62
7102,7288,195,2024-04-06 00:00:00,Room 1635,Apt 344,24.98,3.59
6779,3233,157,2024-04-06 00:00:00,Room 685,Apt 821,2901.79,3.73
6750,6601,466,2024-04-06 00:00:00,Apt 1440,Apt 1944,184.08,0.64
7267,2273,390,2024-04-06 00:00:00,14th Floor,Suite 52,1096.41,3.72
2107,9745,126,2024-04-06 00:00:00,PO Box 96290,Apt 1924,4995.81,3.74
2966,7123,494,2024-04-06 00:00:00,PO Box 87356,Apt 753,3489.45,1.28
8022,2366,516,2024-04-06 00:00:00,Apt 775,Room 453,3264.18,2.96
8896,2464,293,2024-04-06 00:00:00,PO Box 70871,Apt 1017,4525.57,4.69
2871,5744,775,2024-04-06 00:00:00,Apt 54,Apt 1621,4050.19,4.05
8404,3699,491,2024-04-06 00:00:00,8th Floor,Suite 79,1768.75,0.5
3216,2419,118,2024-04-06 00:00:00,18th Floor,Room 788,2646.43,0.32
1962,5258,773,2024-04-06 00:00:00,Suite 67,Suite 9,162.11,1.18
6634,5993,337,2024-04-06 00:00:00,Apt 1907,Room 132,853.35,4.57
4659,9311,414,2024-04-06 00:00:00,Room 1861,Apt 75,218.17,3.8
5292,1007,335,2024-04-06 00:00:00,Suite 45,Apt 363,78.62,4.3
8690,1248,634,2024-04-06 00:00:00,PO Box 50516,Apt 867,4118.08,5.0
9796,2173,681,2024-04-06 00:00:00,10th Floor,Suite 43,4068.06,0.45
1366,1846,636,2024-04-06 00:00:00,PO Box 13065,9th Floor,3301.74,4.67
5721,6885,362,2024-04-06 00:00:00,Room 1973,13th Floor,1966.23,4.42
8072,5831,797,2024-04-06 00:00:00,Apt 692,Suite 15,1316.76,4.17
8657,4168,687,2024-04-06 00:00:00,PO Box 66186,2nd Floor,505.9,2.54
5891,6124,995,2024-04-06 00:00:00,Apt 897,Apt 1020,3374.11,3.66
3363,6759,778,2024-04-06 00:00:00,PO Box 37557,4th Floor,3904.08,0.47
5636,8824,522,2024-04-06 00:00:00,17th Floor,Apt 567,931.72,4.14
8247,7206,481,2024-04-06 00:00:00,Apt 1649,Apt 1285,4553.22,4.29
9509,4263,336,2024-04-06 00:00:00,Suite 44,PO Box 64767,119.39,2.84
4941,4997,440,2024-04-06 00:00:00,Suite 77,PO Box 24670,550.5,3.1
2962,9782,152,2024-04-06 00:00:00,Apt 368,Apt 1283,3196.92,1.61
3196,1427,368,2024-04-06 00:00:00,Apt 246,Room 1461,2769.04,3.38
2810,8379,838,2024-04-06 00:00:00,Room 786,4th Floor,3180.72,4.85
1609,4161,904,2024-04-06 00:00:00,PO Box 94666,13th Floor,1357.12,2.54
4393,7781,251,2024-04-06 00:00:00,5th Floor,Suite 62,800.13,3.3
5509,4217,722,2024-04-06 00:00:00,Room 948,Room 148,3738.37,0.29
2788,8415,503,2024-04-06 00:00:00,Room 800,PO Box 65966,2637.88,3.56
5843,6137,112,2024-04-06 00:00:00,PO Box 42115,Suite 69,3327.79,4.25
7207,2421,679,2024-04-06 00:00:00,PO Box 51712,PO Box 10708,4242.96,1.44
5061,7507,277,2024-04-06 00:00:00,Room 464,6th Floor,4123.62,4.99
3819,4075,624,2024-04-06 00:00:00,PO Box 21169,Suite 5,3299.13,0.87
7384,9173,883,2024-04-06 00:00:00,Suite 56,Apt 759,2229.21,1.92
7701,5788,540,2024-04-06 00:00:00,Suite 78,Room 1768,1733.27,1.53
7855,6922,696,2024-04-06 00:00:00,9th Floor,PO Box 52040,4612.74,1.29
8794,1511,865,2024-04-06 00:00:00,PO Box 62853,PO Box 862,1706.53,3.0
8208,2795,438,2024-04-06 00:00:00,PO Box 65272,Suite 18,3781.48,2.43
5461,9308,673,2024-04-06 00:00:00,Room 887,Suite 11,1302.73,1.95
4675,6265,429,2024-04-06 00:00:00,Suite 57,Room 671,3391.43,4.09
8121,3964,259,2024-04-06 00:00:00,Room 1476,Apt 1648,3611.74,1.34
9994,6839,639,2024-04-06 00:00:00,Apt 138,Room 836,1255.12,0.68
1769,4140,407,2024-04-06 00:00:00,Suite 24,Suite 78,3190.61,1.31
5771,5491,605,2024-04-06 00:00:00,PO Box 78202,Room 624,3526.69,1.07
3773,9420,210,2024-04-06 00:00:00,13th Floor,PO Box 35376,4197.19,1.73
9717,1877,982,2024-04-06 00:00:00,Room 404,Apt 1134,4493.17,1.03
3755,4847,535,2024-04-06 00:00:00,Apt 145,Apt 1712,1536.77,3.4
4576,3199,824,2024-04-06 00:00:00,Suite 86,18th Floor,2144.37,4.42
6889,7428,316,2024-04-06 00:00:00,Suite 17,PO Box 67059,3638.56,4.59
3599,8441,915,2024-04-06 00:00:00,3rd Floor,Apt 1662,3079.0,4.97
5375,9717,248,2024-04-06 00:00:00,Room 1319,Room 835,2852.22,4.04
8660,2494,796,2024-04-06 00:00:00,PO Box 3124,Apt 1338,119.8,3.23
5470,4159,790,2024-04-06 00:00:00,Suite 19,PO Box 32571,223.79,3.6
2877,2165,415,2024-04-06 00:00:00,Suite 10,Room 1329,2298.17,0.84
3782,2476,979,2024-04-06 00:00:00,Apt 495,Apt 202,2682.63,0.91
2672,1183,670,2024-04-06 00:00:00,4th Floor,Apt 218,1031.92,3.11
7665,7473,984,2024-04-06 00:00:00,Suite 89,PO Box 17533,3225.4,3.69
1957,2632,469,2024-04-06 00:00:00,PO Box 81839,Suite 38,2963.21,4.17
5668,1611,838,2024-04-06 00:00:00,Apt 386,Room 1231,3183.23,4.02
1286,1021,943,2024-04-06 00:00:00,Apt 455,Room 768,2195.07,2.9
7728,9661,546,2024-04-06 00:00:00,3rd Floor,PO Box 2163,1253.85,2.06
9989,4846,978,2024-04-06 00:00:00,PO Box 3877,Room 611,1908.21,4.56
7545,3353,724,2024-04-06 00:00:00,Apt 978,Room 1704,2751.6,1.45
3993,4708,490,2024-04-06 00:00:00,Suite 56,18th Floor,1370.12,1.01
8155,5465,905,2024-04-06 00:00:00,Suite 88,Apt 1881,4682.55,0.04
7702,4366,952,2024-04-06 00:00:00,Room 1532,Suite 79,3168.15,0.29
5826,9507,475,2024-04-06 00:00:00,Suite 44,Apt 1867,1160.72,3.97
1437,1960,412,2024-04-06 00:00:00,PO Box 93051,Suite 31,14.15,2.86
8343,8059,143,2024-04-06 00:00:00,Room 912,2nd Floor,1850.2,2.89
8637,8575,989,2024-04-06 00:00:00,Suite 58,Room 426,195.01,0.75
6910,4407,831,2024-04-06 00:00:00,1st Floor,Apt 1226,4705.52,0.38
9787,9673,764,2024-04-06 00:00:00,20th Floor,PO Box 17857,4160.19,2.79
7604,1613,406,2024-04-06 00:00:00,5th Floor,Suite 95,2863.27,0.97
8817,2744,818,2024-04-06 00:00:00,Suite 84,Room 664,3790.0,2.42
2928,8325,141,2024-04-06 00:00:00,Suite 24,Apt 870,1920.9,0.12
5798,2125,926,2024-04-06 00:00:00,14th Floor,Suite 85,4886.79,0.12
8154,5983,719,2024-04-06 00:00:00,PO Box 79717,Suite 53,42.9,3.76
1538,1822,487,2024-04-06 00:00:00,Apt 1321,5th Floor,4591.84,2.98
7189,1953,809,2024-04-06 00:00:00,PO Box 38576,19th Floor,1015.87,4.11
8466,4898,422,2024-04-06 00:00:00,Suite 22,Room 196,160.0,4.15
6613,9463,252,2024-04-06 00:00:00,Room 1582,5th Floor,3205.78,1.1
1975,3329,254,2024-04-06 00:00:00,8th Floor,Apt 1068,3707.57,1.33
5327,7294,614,2024-04-06 00:00:00,Room 1053,Apt 1991,189.8,4.37
8638,1493,286,2024-04-06 00:00:00,Apt 353,Apt 1033,2989.23,0.6
6990,6318,832,2024-04-06 00:00:00,Room 454,PO Box 3990,1187.89,0.81
6957,3183,409,2024-04-06 00:00:00,Apt 317,Suite 87,959.94,0.33
1683,6585,383,2024-04-06 00:00:00,PO Box 7291,Suite 20,4244.64,1.6
6286,6998,938,2024-04-06 00:00:00,Apt 1737,Apt 66,1791.05,3.23
9871,8309,511,2024-04-06 00:00:00,Apt 1437,Suite 82,1121.72,4.9
2664,6620,453,2024-04-06 00:00:00,18th Floor,Apt 879,799.62,4.7
7829,9970,334,2024-04-06 00:00:00,Room 1711,PO Box 27740,20.95,0.64
7625,9976,504,2024-04-06 00:00:00,Apt 274,PO Box 71053,823.89,3.68
5176,1150,969,2024-04-06 00:00:00,Apt 1186,PO Box 22081,121.69,3.27
2073,8733,650,2024-04-06 00:00:00,Suite 92,PO Box 79744,4121.75,1.37
4822,5857,544,2024-04-06 00:00:00,Suite 28,Suite 41,689.69,0.38
6153,9852,645,2024-04-06 00:00:00,10th Floor,15th Floor,300.58,3.52
1069,8115,537,2024-04-06 00:00:00,PO Box 43226,Room 701,4315.64,3.57
9606,5569,429,2024-04-06 00:00:00,1st Floor,Room 438,3060.47,2.16
2500,4156,518,2024-04-06 00:00:00,Room 169,Suite 76,3238.08,1.13
8371,1007,557,2024-04-06 00:00:00,PO Box 55236,Room 777,4249.39,1.11
8348,1005,926,2024-04-06 00:00:00,PO Box 4706,PO Box 66998,4927.83,1.32
8345,2520,933,2024-04-06 00:00:00,PO Box 72988,Apt 1811,1951.15,1.4
1802,5319,743,2024-04-06 00:00:00,15th Floor,2nd Floor,2344.4,2.49
4648,9059,890,2024-04-06 00:00:00,PO Box 45505,PO Box 79703,256.8,2.42
2312,7720,910,2024-04-06 00:00:00,Room 98,15th Floor,2722.85,3.98
9862,2933,943,2024-04-06 00:00:00,PO Box 31627,2nd Floor,3333.35,0.81
